platform,category_id,name,parent_id,level,url
tiki,1,Đồ Chơi - Mẹ & Bé,,1,https://tiki.vn/me-va-be
tiki,2,Điện Thoại - Máy Tính Bảng,,1,https://tiki.vn/dien-thoai-may-tinh-bang
tiki,3,Laptop - Thiết bị IT,,1,https://tiki.vn/laptop-may-vi-tinh
tiki,4,Thời trang nam,,1,https://tiki.vn/thoi-trang-nam
tiki,5,Thời trang nữ,,1,https://tiki.vn/thoi-trang-nu
tiki,6,Mỹ phẩm - Làm đẹp,,1,https://tiki.vn/my-pham-lam-dep
tiki,7,Đồ gia dụng,,1,https://tiki.vn/do-gia-dung
tiki,8,Nhà sách - Tiki Books,,1,https://tiki.vn/nha-sach-tiki
tiki,100,Điện thoại Smartphone,2,2,https://tiki.vn/dien-thoai-smartphone
tiki,101,Máy tính bảng,2,2,https://tiki.vn/may-tinh-bang
tiki,102,Phụ kiện điện thoại,2,2,https://tiki.vn/phu-kien-dien-thoai
tiki,200,Laptop,3,2,https://tiki.vn/laptop
tiki,201,Laptop Gaming,3,2,https://tiki.vn/laptop-gaming
tiki,202,Phụ kiện laptop,3,2,https://tiki.vn/phu-kien-laptop
tiki,400,Đầm nữ,5,2,https://tiki.vn/dam
tiki,401,Áo nữ,5,2,https://tiki.vn/ao-nu
tiki,402,Quần nữ,5,2,https://tiki.vn/quan-nu
tiki,700,Đồ dùng nhà bếp,7,2,https://tiki.vn/do-dung-nha-bep
tiki,701,Đồ dùng phòng ngủ,7,2,https://tiki.vn/do-dung-phong-ngu
